Asset,Name,Ticker,Date,Open,High,Low,Close,Volume
AAPL,Apple Inc.,AAPL,2025-10-16,247.7777,248.5662,244.6637,246.9793,39777000
AAPL,Apple Inc.,AAPL,2025-10-17,247.5482,252.898,246.7996,251.81,49147000
AAPL,Apple Inc.,AAPL,2025-10-20,255.4032,263.8771,255.1437,261.7411,90483000
AAPL,Apple Inc.,AAPL,2025-10-21,261.3818,264.7853,261.3319,262.2701,46695900
AAPL,Apple Inc.,AAPL,2025-10-22,262.1503,262.35,254.9441,257.9583,45015300
AAPL,Apple Inc.,AAPL,2025-10-23,259.4455,260.1242,257.5192,259.0862,32754900
AAPL,Apple Inc.,AAPL,2025-10-24,260.6931,263.6275,258.6869,262.32,38253700
AAPL,Apple Inc.,AAPL,2025-10-27,264.3761,268.608,264.1465,268.2986,44888200
AAPL,Apple Inc.,AAPL,2025-10-28,268.4783,269.3766,267.6399,268.4883,41534800
AAPL,Apple Inc.,AAPL,2025-10-29,268.7677,270.8937,266.6018,269.1869,51086700
AAPL,Apple Inc.,AAPL,2025-10-30,271.4725,273.6185,267.9692,270.8837,69886500
AAPL,Apple Inc.,AAPL,2025-10-31,276.4631,276.7924,268.648,269.8557,86167100
AAPL,Apple Inc.,AAPL,2025-11-03,269.9056,270.3347,265.7435,268.5381,50194600
AAPL,Apple Inc.,AAPL,2025-11-04,267.8195,270.9735,267.1109,269.5263,49274800
AAPL,Apple Inc.,AAPL,2025-11-05,268.099,271.1831,266.4222,269.6261,43683100
AAPL,Apple Inc.,AAPL,2025-11-06,267.3804,272.8799,267.3804,269.2568,51204000
AAPL,Apple Inc.,AAPL,2025-11-07,269.2867,271.772,266.2625,267.9593,48227400
AAPL,Apple Inc.,AAPL,2025-11-10,268.7086,273.4741,267.21,269.1781,41312400
AAPL,Apple Inc.,AAPL,2025-11-11,269.5578,275.6521,269.5478,274.9927,46208300
AAPL,Apple Inc.,AAPL,2025-11-12,274.7429,275.4723,271.446,273.2144,48398000
AAPL,Apple Inc.,AAPL,2025-11-13,273.8537,276.4413,271.8356,272.6949,49602800
AAPL,Apple Inc.,AAPL,2025-11-14,270.7966,275.702,269.348,272.1553,47431300
AAPL,Apple Inc.,AAPL,2025-11-17,268.5687,270.2371,265.4816,267.21,45018300
AAPL,Apple Inc.,AAPL,2025-11-18,269.7376,270.4569,265.072,267.19,45677300
AAPL,Apple Inc.,AAPL,2025-11-19,265.2818,271.9555,265.2518,268.3089,40424500
AAPL,Apple Inc.,AAPL,2025-11-20,270.5768,275.1725,265.6714,266.0011,45823600
AAPL,Apple Inc.,AAPL,2025-11-21,265.7014,273.0745,265.4216,271.2362,59030800
AAPL,Apple Inc.,AAPL,2025-11-24,270.6468,276.7411,270.6468,275.6621,65585800
AAPL,Apple Inc.,AAPL,2025-11-25,275.0127,280.1179,274.9927,276.7111,46914200
AAPL,Apple Inc.,AAPL,2025-11-26,276.7011,279.2687,276.3714,277.2905,33431400
AAPL,Apple Inc.,AAPL,2025-11-28,277.0008,278.7392,275.732,278.5893,20135600
AAPL,Apple Inc.,AAPL,2025-12-01,277.7501,283.1551,275.8819,282.8354,46587700
AAPL,Apple Inc.,AAPL,2025-12-02,282.7354,287.1313,282.3658,285.9225,53669500
AAPL,Apple Inc.,AAPL,2025-12-03,285.9325,288.3502,283.0352,283.8844,43538700
AAPL,Apple Inc.,AAPL,2025-12-04,283.8344,284.4638,278.3295,280.4376,43989100
AAPL,Apple Inc.,AAPL,2025-12-05,280.2777,280.8772,277.7901,278.5194,47265800
AAPL,Apple Inc.,AAPL,2025-12-08,277.87,279.4086,275.8918,277.6302,38211800
AAPL,Apple Inc.,AAPL,2025-12-09,277.9,279.7682,276.6611,276.9209,32193300
AAPL,Apple Inc.,AAPL,2025-12-10,277.4903,279.4885,276.1816,278.5194,33038300
AAPL,Apple Inc.,AAPL,2025-12-11,278.8391,279.3286,273.554,277.7701,33248000
AAPL,Apple Inc.,AAPL,2025-12-12,277.6402,278.959,276.5612,278.0199,39532900
AAPL,Apple Inc.,AAPL,2025-12-15,279.8881,279.8881,272.5849,273.8537,50409100
AAPL,Apple Inc.,AAPL,2025-12-16,272.565,275.2425,271.5359,274.3533,37648600
AAPL,Apple Inc.,AAPL,2025-12-17,274.7529,275.9018,271.3861,271.5859,50138700
AAPL,Apple Inc.,AAPL,2025-12-18,273.3542,273.3742,266.7005,271.9355,51630700
AAPL,Apple Inc.,AAPL,2025-12-19,271.8956,274.3433,269.6477,273.4142,144632000
AAPL,Apple Inc.,AAPL,2025-12-22,272.6049,273.624,270.2571,270.7167,36571800
AAPL,Apple Inc.,AAPL,2025-12-23,270.5868,272.2453,269.308,272.1054,29642000
AAPL,Apple Inc.,AAPL,2025-12-24,272.0854,275.1725,271.9455,273.554,17910600
AAPL,Apple Inc.,AAPL,2025-12-26,273.9037,275.1126,272.6049,273.1444,21521800
AAPL,Apple Inc.,AAPL,2025-12-29,272.4351,274.1035,272.0954,273.5041,23715200
AAPL,Apple Inc.,AAPL,2025-12-30,272.555,273.8238,272.0255,272.8247,22139600
AAPL,Apple Inc.,AAPL,2025-12-31,272.8047,273.4241,271.496,271.6058,27293600
AAPL,Apple Inc.,AAPL,2026-01-02,272.0055,277.5803,268.7485,270.7567,37838100
AAPL,Apple Inc.,AAPL,2026-01-05,270.387,271.2562,265.8912,267.0102,45647200
AAPL,Apple Inc.,AAPL,2026-01-06,266.7504,267.2999,261.8749,262.1147,52352100
